zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
1001,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1002,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1005,Worcester County MA,1307.69,1202.54,1209.36,1109.17,1062.956667,1033.096667,961.91,987.9266667,902.8133333,1010.783333
1007,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1008,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1010,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1011,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1013,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1020,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1026,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1027,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1028,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1030,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1033,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1034,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1035,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1036,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1038,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1040,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1050,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1053,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1054,Franklin County MA,1168,1177.6,1140.2,962.8,975.6923077,997.4769231,1024.892308,987.7230769,918.8846154,981.7
1056,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1060,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1062,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1068,Worcester County MA,1307.69,1202.54,1209.36,1109.17,1062.956667,1033.096667,961.91,987.9266667,902.8133333,1010.783333
1071,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1072,Franklin County MA,1168,1177.6,1140.2,962.8,975.6923077,997.4769231,1024.892308,987.7230769,918.8846154,981.7
1073,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1075,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1077,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1081,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1082,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1083,Worcester County MA,1307.69,1202.54,1209.36,1109.17,1062.956667,1033.096667,961.91,987.9266667,902.8133333,1010.783333
1085,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1089,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1092,Worcester County MA,1307.69,1202.54,1209.36,1109.17,1062.956667,1033.096667,961.91,987.9266667,902.8133333,1010.783333
1095,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1096,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1098,Hampshire County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1104,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1106,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1107,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1108,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1109,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1118,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1119,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1128,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1129,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1151,Hampden County MA,1145.4,1088.8,1153.4,1098.4,1028,949.4,977.2,960.8,861,894.2
1201,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1220,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1223,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1225,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1226,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1230,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1235,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1238,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1240,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1245,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
1247,Berkshire County MA,1116.9125,1127,1083.325,945.8125,949.4,897.825,862.5875,835.25,862.225,871.375
